geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
7,200,20.0,6,15,log2,log_loss,balanced,0.5,0.6764222059583723,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
7,650,20.0,4,15,sqrt,entropy,balanced,0.5,0.6767036624157421,0.6972,0.504144058195695,0.6901477430413844,0.582661429260561,0.7653549970758033
7,200,20.0,4,2,0.5,log_loss,balanced_subsample,0.5,0.6144952116997373,0.703925,0.5145735105015002,0.5879520039180475,0.5488209074631415,0.7410821507906941
7,800,20.0,6,15,log2,gini,balanced,0.5,0.6766770197600086,0.69685,0.5037228233892584,0.6902837863575763,0.5824284304047384,0.7652831471107112
7,100,20.0,4,15,log2,log_loss,balanced_subsample,0.5,0.6728144513553431,0.699525,0.5070359886777194,0.6823388566919707,0.5817684107965156,0.7649257704200064
7,800,12.0,6,15,0.3,log_loss,balanced,0.5,0.6786865110225161,0.6921666666666667,0.4981944578545911,0.7019563028868392,0.5827780162190246,0.7663354165941955
8,500,20.0,4,15,0.5,gini,balanced_subsample,0.5,0.662948764176198,0.6996166666666667,0.5073199014349906,0.6666122493401899,0.5761587846577146,0.7605024663031923
8,100,10.0,2,15,0.3,log_loss,balanced,0.5,0.67607247637058,0.6913,0.497195613206638,0.701874676897124,0.5820659777065752,0.7648714081665022
8,300,20.0,6,15,log2,entropy,balanced,0.5,0.6765660938960926,0.6970916666666667,0.5040149467323899,0.6899572823987158,0.5825073221156607,0.765332480727889
8,200,20.0,30,15,sqrt,log_loss,balanced,0.5,0.6764222059583723,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
8,800,20.0,30,15,log2,gini,balanced,0.5,0.6766770197600086,0.69685,0.5037228233892584,0.6902837863575763,0.5824284304047384,0.7652831471107112
8,800,20.0,16,5,log2,log_loss,balanced,0.45,0.6436118088181841,0.6666,0.4720115565185988,0.7467961799036813,0.5784282733767465,0.7600077312452242
8,200,20.0,6,15,log2,gini,balanced,0.5,0.6772182237393678,0.696425,0.5032075396982537,0.6915081762033032,0.5825187086718848,0.7651357273852633
8,650,12.0,6,15,0.3,gini,balanced_subsample,0.5,0.6798643663722088,0.6937416666666667,0.5000195213368211,0.6969227001877398,0.5822753157003375,0.7662662263104985
8,800,20.0,4,15,log2,log_loss,balanced,0.3,0.5574378551644774,0.5472083333333333,0.3958288896788719,0.9088781868146818,0.551480481744715,0.7653629888668488
8,100,24.0,30,15,0.3,gini,balanced_subsample,0.5,0.6680242185953937,0.7000083333333333,0.5077184505773483,0.6747476396484641,0.5794361951937568,0.7622276887818313
8,200,20.0,24,15,log2,gini,balanced,0.5,0.6772182237393678,0.696425,0.5032075396982537,0.6915081762033032,0.5825187086718848,0.7651357273852633
8,800,20.0,6,15,0.3,entropy,balanced,0.5,0.6738793696537232,0.6967333333333333,0.5036060333633003,0.6858759829129595,0.5807759653488158,0.7640095509529866
8,650,20.0,16,15,sqrt,log_loss,balanced,0.5,0.6767036624157421,0.6972,0.504144058195695,0.6901477430413844,0.582661429260561,0.7653549970758033
8,800,12.0,6,15,0.3,gini,balanced,0.5,0.6786061080116519,0.6919666666666666,0.4979659513756338,0.702745354120752,0.5828932520875649,0.7662832811191055
9,650,10.0,6,15,0.3,gini,balanced,0.5,0.6778078707933279,0.692325,0.498373164968819,0.7001605311131064,0.5822801995768608,0.7652209679269353
9,200,20.0,6,15,0.3,gini,balanced,0.5,0.6737465436272041,0.6961666666666667,0.5029221103021841,0.6860392348923897,0.5803793389190682,0.7636603449996333
9,800,12.0,30,15,log2,log_loss,balanced_subsample,0.5,0.6800738719255008,0.6949916666666667,0.5014886782104521,0.6965961962288792,0.5831558567279768,0.7666353064164484
9,200,12.0,24,15,0.3,gini,balanced,0.5,0.6803887854040734,0.6929083333333333,0.49905178419382307,0.7016842162544554,0.5832701941670719,0.7661850458072031
9,800,10.0,6,10,sqrt,gini,balanced,0.5,0.6769324337369037,0.6922166666666667,0.498245001648341,0.6990721845835715,0.5818161231884058,0.7652604416843714
9,650,12.0,6,15,sqrt,log_loss,balanced,0.5,0.6813378946492041,0.694425,0.5008186496179635,0.6990993932468098,0.5835765470093235,0.7666808143413705
9,800,20.0,6,2,0.3,gini,balanced,0.5,0.6427555143665415,0.6927166666666666,0.4987263426033136,0.644573232117106,0.5623471882640587,0.7461628729119959
9,650,20.0,30,15,0.5,gini,balanced,0.5,0.6707521089185255,0.6955583333333333,0.5022031725684987,0.6822300220390172,0.5785350884276831,0.7607522898906518
9,200,12.0,6,15,log2,gini,balanced,0.5,0.6811702155111672,0.6940333333333333,0.5003603217575912,0.6989905585938563,0.5832273883036687,0.7666249906113247
9,500,12.0,2,15,log2,entropy,balanced_subsample,0.5,0.6807253397586291,0.6943666666666667,0.500751468779888,0.6980382553805131,0.5831609574250449,0.7666393504395392
9,650,20.0,6,15,0.3,entropy,balanced_subsample,0.3,0.5628603193211023,0.5565166666666667,0.4003486134143537,0.899899327946018,0.5541611514166513,0.7638401979667653
9,200,20.0,24,15,sqrt,gini,balanced_subsample,0.5,0.6721997028476855,0.700075,0.5077291353917313,0.680978423530052,0.5817285901890827,0.7649633408097493
9,800,12.0,24,15,0.3,gini,balanced,0.5,0.6786061080116519,0.6919666666666666,0.4979659513756338,0.702745354120752,0.5828932520875649,0.7662832811191055
9,200,20.0,2,15,log2,gini,balanced,0.5,0.6772182237393678,0.696425,0.5032075396982537,0.6915081762033032,0.5825187086718848,0.7651357273852633
10,650,24.0,6,15,0.3,log_loss,balanced,0.3,0.5577837459888237,0.5519,0.3978439116916169,0.9016950997197508,0.5520940925598907,0.7628195998549396
10,800,12.0,6,8,0.3,gini,balanced,0.5,0.6793928333508237,0.6927416666666667,0.4988571207190454,0.7007047043778739,0.5827986919673671,0.7660874694099176
10,650,12.0,6,15,0.5,log_loss,balanced,0.5,0.6762350889750304,0.69195,0.4979357664799488,0.6989905585938563,0.581576981413986,0.7653788408948066
10,500,24.0,2,15,0.5,entropy,balanced_subsample,0.5,0.6615047737853339,0.6990833333333333,0.5066661137489892,0.6648708948929339,0.5750864889035325,0.7591476976498155
